,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
42,42,0.001574,2025-02-04 04:37:58.141250,2025-02-04 07:24:54.333623,0 days 02:46:56.192373,leaky_relu,128,0.3,3.033844921187166e-07,0.95,0.98,0.22614071216249584,5,512,medium,True,0.9113457258277042,COMPLETE
43,43,0.001961,2025-02-04 04:38:48.950559,2025-02-04 07:03:44.630778,0 days 02:24:55.680219,elu,256,0.4,2.547543311784666e-07,0.92,0.95,0.03273210755001186,1,512,small,True,0.64663406388296,COMPLETE
44,44,0.001818,2025-02-04 04:52:42.939177,2025-02-04 07:28:10.745601,0 days 02:35:27.806424,elu,128,0.1,0.0003870448776666572,0.99,0.9,0.0003191114300001732,1,256,medium,False,0.25221473735084,COMPLETE
45,45,0.001729,2025-02-04 05:01:50.036826,2025-02-04 07:40:47.476075,0 days 02:38:57.439249,elu,128,0.4,4.173657747360882e-06,0.92,0.95,0.03523737644889879,1,512,small,False,0.33334595286201685,COMPLETE
46,46,0.001842,2025-02-04 05:02:51.900457,2025-02-04 08:21:24.521128,0 days 03:18:32.620671,elu,128,0.4,4.561592505192519e-06,0.92,0.95,0.022814002003661526,10,1024,small,False,0.3686406464892572,COMPLETE
47,47,0.00218,2025-02-04 05:05:35.823126,2025-02-04 08:03:04.656909,0 days 02:57:28.833783,elu,128,0.1,2.7506826648356928e-05,0.92,0.95,0.060003779618875125,5,512,small,False,0.518151374050732,COMPLETE
48,48,0.001832,2025-02-04 05:06:29.513252,2025-02-04 08:08:13.559303,0 days 03:01:44.046051,tanh,128,0.1,7.2982160953407905e-06,0.95,0.99,0.07371254415032837,5,512,medium,False,0.7305892445787519,COMPLETE
49,49,,2025-02-04 06:45:19.521093,,,relu,128,0.3,8.121987027803878e-05,0.95,0.8,0.3055764263961955,1,512,medium,True,0.9464191533562185,RUNNING
50,50,,2025-02-04 06:53:12.672563,,,leaky_relu,128,0.1,3.932422367247787e-07,0.9,0.95,0.13203117805688613,5,512,small,False,0.6772382931850887,RUNNING
51,51,,2025-02-04 07:02:28.288632,,,leaky_relu,128,0.1,1.3117250865256085e-06,0.9,0.5,0.038194891457468204,5,512,medium,False,0.9227244949025857,RUNNING
52,52,,2025-02-04 07:03:44.633155,,,elu,128,0.1,7.020729887561685e-06,0.98,0.999,0.10532296596065924,1,512,small,False,0.2304445751035891,RUNNING
53,53,,2025-02-04 07:03:57.725241,,,elu,128,0.1,8.974727262957353e-08,0.9,0.9999,0.8373002093697656,1,512,small,False,0.0642205596195165,RUNNING
54,54,,2025-02-04 07:24:54.339321,,,elu,128,0.1,6.623683465553111e-06,0.98,0.995,0.13247544319068336,1,512,small,False,0.11939914699421059,RUNNING
55,55,,2025-02-04 07:28:10.748784,,,elu,128,0.1,1.6651826764133933e-07,0.98,0.95,0.20351832685102747,10,512,small,False,0.08810042312131741,RUNNING
56,56,,2025-02-04 07:40:47.488410,,,leaky_relu,128,0.1,2.399512424598745e-07,0.95,0.95,0.005163779136208722,5,1024,medium,False,0.9189072843969726,RUNNING
57,57,,2025-02-04 07:43:58.059393,,,elu,128,0.1,2.828836739282137e-07,0.98,0.95,0.8153984201220758,5,512,small,False,0.12986699355956127,RUNNING
58,58,,2025-02-04 08:03:04.664301,,,leaky_relu,128,0.1,3.333559375806772e-05,1.0,0.95,0.24260979424055926,5,256,small,False,0.5029856800240213,RUNNING
59,59,,2025-02-04 08:08:13.568219,,,elu,128,0.1,7.382829936285569e-06,0.99,0.95,0.011785539596653483,5,512,small,True,0.7283087655962122,RUNNING
60,60,,2025-02-04 08:21:24.524003,,,leaky_relu,128,0.1,8.518493769914184e-06,0.9,0.95,0.006114268287098295,5,512,medium,False,0.7390682530908459,RUNNING
